Policy,Section,Training Name,Module,Audience,Learning Outcome
RSAP,Governance — Authority and Method,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,Explain that CivicActions follows NIST SP 800-30 and NIST CSF 2.0 for risk management; identify the CEO as final risk owner and the CISO as process owner
RSAP,Governance — Risk Ownership,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,All Staff; System/Data Owners (deeper),"Identify who approves High residual risks (CEO/CTO) and who may accept Low risks (System Owners with CISO concurrence); understand that ""Ignore"" is never an accepted treatment"
RSAP,Governance — Documentation Control,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,Understand that all risk assessment documentation is Controlled Records subject to the Document and Records Control Policy
RSAP,Methodology,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,Managers; System/Data Owners; IT / Service Desk,"Describe the four steps of a risk assessment: define scope, identify assets/threats/vulnerabilities, rate impact and likelihood, and recommend treatments"
RSAP,Assessing Impact (CIA Matrix),"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,System/Data Owners; IT / Service Desk,"Use the CIA matrix (Confidentiality, Integrity, Availability × Low/Medium/High) to rate system impact; know where CIA ratings are stored (Jira assets for subscriptions/services, GitLab for internal systems)"
RSAP,Qualitative Risk Scales,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff; System/Data Owners (deeper),"Apply the 3×3 risk matrix (Impact × Likelihood) to classify risks as Low, Medium, or High; describe what each level means and the required response"
RSAP,Scope and Cadence — Enterprise RA,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Understand that an annual enterprise risk assessment covers the policy library, cloud services, vendors, and personnel/endpoint environment"
RSAP,Scope and Cadence — System Assessments,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,System/Data Owners; IT / Service Desk,Explain that individual systems aim for continuous automated compliance with at least annual assessments; High-criticality systems receive quarterly health checks
RSAP,Scope and Cadence — Ad-hoc Triggers,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,Managers; System/Data Owners,"Identify the four triggers for ad-hoc risk assessments: major change to a High system, new compliance obligations, major incident, or material supply-chain event"
RSAP,Risk Appetite and Criteria,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,All Staff; System/Data Owners (deeper),"State CivicActions' risk appetite (moderately risk-tolerant); describe the required actions at each residual risk level (High: CEO approval + POA&M, Medium: mitigate/transfer with CISO acceptance, Low: System Owner acceptance with CISO concurrence)"
RSAP,Treatment Options and Authority,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,Managers; System/Data Owners; IT / Service Desk,"Distinguish five treatment options (Remediate, Mitigate, Accept, Transfer, Avoid); explain that remediation is preferred when a safe, feasible fix exists; identify the approval authority for each risk level"
RSAP,Risk Register and POA&M,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,Managers; System/Data Owners; IT / Service Desk,"Create and update Risk Register entries in the Jira Continual Improvement project with required fields (title, description, asset/data type, owner, due date); track treatments as POA&M tickets to closure"
RSAP,"Integration with DevSecOps, SRE & ITSM",Training 5 — Secure Development & Supply Chain,D - Access and identity for developers,Developers; IT / Service Desk,Embed risk checks in CI/CD (SCA/SAST/IaC); use monitoring signals to inform risk creation; apply blameless post-incident reviews to update the Risk Register; capture improvement opportunities in the Continual Improvement board
RSAP,Remote-First and Endpoints,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Account for distributed endpoints, home networks, and travel in risk assessments; understand that managed-device exceptions require time-bound approval and equivalent safeguards"
RSAP,Data Classification and Security,Training 2 — CUI Awareness & Handling,C - CUI handling rules,All Staff working with CUI; System/Data Owners,Ensure sensitive data risks keep data within approved boundaries per the Data Security and Handling Policy; align client-sensitive data (FCI/CUI) risks with the CUI Policy
RSAP,Third-Party Management,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; System/Data Owners,Include cybersecurity and risk assessment in vendor onboarding and annual reviews; record supplier risks in the Risk Register
RSAP,Reporting and Metrics,"Training 6 — Access Governance, Risk & Supplier Oversight",B - Risk management responsibilities,Managers; System/Data Owners,"Understand that risk reporting occurs quarterly to ELT (heat map, risk movements, POA&M status) and annually for the enterprise risk assessment"
RSAP,Compliance and Enforcement,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Understand that violations can result in access revocation, disciplinary action, or contract remedies"
