Policy,Section,Training Name,Module,Audience,Learning Outcome
IRP,Policy Awareness,Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,"Know that the Incident Response Policy exists and is managed by IT/SIRT; incident handling, evidence preservation, communications, and recovery are coordinated by the Incident Commander and SIRT"
IRP,"Report Quickly, Report Safely",Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,"If you observe something that may be a security incident, report it immediately — raise a flag in Slack #general, DM an IT team member or your manager, or email security@civicactions.com; good-faith reporting is blame-free and will not result in retaliation; do not attempt to investigate or remediate on your own"
IRP,Confidentiality and Post-Incident,Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,Handle incident information on a need-to-know basis; do not disclose details outside designated channels; participate in post-incident retrospectives when asked
IRP,Communications and Stakeholder Updates,Training 4 — Incident Response for Responders,C - Communications and escalation,SIRT members; Managers,"Direct all incident communications through the Communications Officer using approved channels and templates; keep updates factual, time-stamped, and audience-appropriate"
IRP,Third-Party and Client Notifications,Training 4 — Incident Response for Responders,C - Communications and escalation,Managers; IT / Service Desk; System/Data Owners,Escalate supplier incidents that may affect CivicActions or client data; understand that contracts (especially those involving CUI/DoD) may require time-bound external reporting
IRP,"Evidence, Logging, and Forensics",Training 4 — Incident Response for Responders,B - Evidence and forensics,IT / Service Desk; SIRT members,"Preserve logs, images, and artifacts with chain of custody; coordinate with SIRT before acquiring, copying, or analyzing data; understand that incident records are Controlled Records"
IRP,Recovery Objectives and Emergency Change,Training 4 — Incident Response for Responders,D - Recovery and emergency changes,IT / Service Desk; System/Data Owners,Explain that recovery targets are set by system criticality and the Contingency Plan; understand that emergency changes to restore service must be documented and reviewed after the fact
IRP,Execution Model and IRP Phases,Training 4 — Incident Response for Responders,A - IRP structure and phases,IT / Service Desk; SIRT members,"List the six IRP phases (Breath, Document, Initiate, Assess, Remediate, Conclude); explain that safety and containment come first using reversible, least-privilege, blast-radius-limiting actions; declare incidents and assign severity"
IRP,Post-Incident Learning and Risk Integration,Training 4 — Incident Response for Responders,E - Post-incident learning,IT / Service Desk; SIRT members,"Conduct post-incident retrospectives; update the Risk Register and create POA&Ms from lessons learned; explain that personnel-specific follow-ups are handled by PeopleOps, not the IR process"
IRP,Compliance and Enforcement,Training 4 — Incident Response for Responders,E - Post-incident learning,IT / Service Desk; SIRT members; Managers,"Understand that violations can result in access revocation, disciplinary action, or contract remedies"
