Policy,Section,Training Name,Module,Audience,Learning Outcome
ACP,Intent and Principles,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Explain default-deny, least privilege, separation of duties, and project boundary segregation; give a workplace example of each"
ACP,Identity and SSO,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,Use corporate SSO (Google Workspace) for all supported services; explain why native passwords must be disabled or tightly controlled; use MFA per Identification Policy for non-SSO services
ACP,RBAC as Baseline,Training 1 — Security Awareness Essentials,B - Your identity and access,"All Staff; Managers, System/Data Owners (deeper)",Explain what role-based access control is and how it maps permissions to job duties; know where to find the RBAC Matrix
ACP,Segregation by Client/Project,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,Identify your project boundaries; explain why cross-boundary access requires explicit approval; describe CUI boundary rules
ACP,Privileged Access Management,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,Privileged Users; IT / Service Desk,Determine whether a given account/role qualifies as privileged using the six-question test; use separate admin and day-to-day accounts; explain JIT elevation and logging requirements
ACP,Non-Person Identities (NPIs),"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,Developers; IT / Service Desk,"Create and manage service/bot accounts that are unique, least-privileged, not used for interactive login; prefer short-lived tokens; rotate static secrets quarterly"
ACP,Remote Access,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,Use strong authentication for all remote access; apply session timeouts; prefer ZTNA/identity-aware proxies over VPN
ACP,Cloud and SaaS Governance,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,IT / Service Desk; System/Data Owners,Use native cloud IAM with least-privilege roles; avoid overly permissive grants; monitor for excessive permissions
ACP,Endpoint Prerequisite,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,Explain that managed endpoints are required for Internal/Confidential/Restricted data; know that unmanaged device access is exception-only and time-boxed
ACP,Physical Safeguards Linkage,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Explain that logical access depends on physical protection of devices (laptops, hardware keys); secure laptops when unattended, keep hardware keys on a keychain or secure pouch, and do not leave devices accessible to unauthorized individuals"
ACP,Access Lifecycle — Request,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Submit a properly formatted access request (person, system, justification, duration, boundary, role) via ticket or Rippling workflow"
ACP,Access Lifecycle — Approve,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,Managers; System/Data Owners,Apply the correct approval authority based on data sensitivity (IT for Public/Internal; Data/System Owner for Confidential/Restricted; CTO for privileged); ensure approver ≠ implementer
ACP,Access Lifecycle — Grant,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk,"Implement access changes in IdP/target system, record evidence in the ticket, use time-bound grants where supported"
ACP,Access Lifecycle — Review/Change,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,Managers; IT / Service Desk,Trigger an immediate rights review when a team member's role or project changes; right-size permissions
ACP,Access Lifecycle — Revoke,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,IT / Service Desk; Managers,"Disable access immediately on separation; remove within 24 hours; revoke tokens, keys, sessions; collect evidence in offboarding ticket"
ACP,Periodic Access Reviews,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,Managers; System/Data Owners,"Conduct quarterly reviews for high-criticality systems and annual reviews for others; certify, remediate excess access, and retain evidence"
ACP,Project Boundary and CUI Segregation,Training 2 — CUI Awareness & Handling,B - The CUI Security Boundary,All Staff working with CUI; System/Data Owners,Maintain strict separation between client environments and corporate systems; keep CUI inside authorized boundaries; require FedRAMP Moderate equivalence for CSPs handling CUI
ACP,Data and Secrets Access,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff; Developers (deeper),"Use named sharing (no ""anyone with link"") for non-Public data; store secrets in approved managers; never commit secrets to code or tickets"
ACP,"Logging, Monitoring, and Evidence","Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; System/Data Owners,"Understand that authentication, authorization, and privileged actions are logged and subject to audit; know the key metrics (time-to-revoke, review completion, SSO coverage)"
ACP,Emergency Access (Break-Glass),"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; Privileged Users,Describe when break-glass accounts may be used; explain the post-use review requirement (within one business day)
ACP,Third-Party and Supplier Access,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; System/Data Owners,Ensure supplier access is least-privileged and contractually bound; apply DFARS flow-down for CUI
ACP,Critical Systems and Enforcement Mechanisms,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; System/Data Owners,"Identify the critical systems requiring SSO via Google Authentication (Google Workspace, Slack, Zoom, Atlassian, Rippling, Unanet, GitLab, production cloud/CI-CD); know that non-SSO systems require ITSM tickets and explicit system approvers"
ACP,Change Control and Configuration Alignment,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; System/Data Owners,"Understand that changes to access control mechanisms, roles, or RBAC mappings are subject to change enablement and must be documented; access controls must align with secure configuration baselines"
ACP,Compliance and Enforcement,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Understand that violations can result in access revocation, disciplinary action, or contract remedies"
