Policy,Section,Training Name,Module,Audience,Learning Outcome
TPM,Governance and Program Structure,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; IT / Service Desk; System/Data Owners,"Explain the three C-SCRM tracks (SCRM-DS for digital services, SCRM-S for software, SCRM-PS for professional services); understand that supplier risk is recorded in the Risk Register with POA&Ms"
TPM,Risk Tiering and Categorization,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; IT / Service Desk; System/Data Owners,"Describe how suppliers are risk-tiered at intake: CIAX scoring for SaaS, security posture/SBOM for software, and access/criticality/regulatory scope for professional services; identify the three tiers (Low/Medium/High)"
TPM,Mandatory Due Diligence — All Suppliers,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Understand that no supplier may be procured, deployed, or granted access until tier-appropriate due diligence is complete (intake form, evidence review, security questionnaire)"
TPM,Mandatory Due Diligence — Digital Services,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,IT / Service Desk; System/Data Owners,"Explain the SCRM-DS process: CIAX scoring, SSO/MFA validation, data region and encryption review, exit strategy, FedRAMP requirement for CUI; know that OAuth app registrations are monitored to detect unapproved services"
TPM,Mandatory Due Diligence — Software,Training 5 — Secure Development & Supply Chain,C - Open-source and supply chain,Developers; IT / Service Desk,"Explain the SCRM-S process: SBOM required at intake, SCA in CI/CD feeding Dependency-Track, remediate Critical/High before release, replace unmaintained components (no updates >1 year)"
TPM,Mandatory Due Diligence — Professional Services,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; System/Data Owners,"Explain the SCRM-PS process: partner criteria (legal review, background checks, certifications), CMMC level verification for FCI/CUI work, DFARS flow-down to sub-tier suppliers"
TPM,Contracting and Required Security Clauses,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; IT / Service Desk; System/Data Owners,"Identify the required contract clauses: confidentiality, least-privilege, encryption, MFA, incident reporting (within 24 hours), right to audit, federal flow-down (FAR/DFARS for FCI/CUI), change notification, exit/data destruction"
TPM,"Monitoring, Reviews, and Continuous Improvement","Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; IT / Service Desk; System/Data Owners,"Describe the review cadence by tier: annual for Low/Medium, semi-annual for High SaaS; CI/CD-enforced SBOM refresh for software; annual PM-led review for professional services; identify ad-hoc triggers (incidents, scope changes, new data classes)"
TPM,Open-Source Software (FOSS),Training 5 — Secure Development & Supply Chain,C - Open-source and supply chain,Developers,"Treat FOSS libraries and containers as suppliers: require SBOMs, triage known vulnerabilities, verify license compliance, assess maintainer health; isolate or replace high-risk/unmaintained components"
TPM,Prohibited and Restricted Technologies,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,IT / Service Desk; Managers,Screen against the prohibited technology list and DFARS restrictions during intake and annual reviews
TPM,Access and Identity Alignment,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,IT / Service Desk,"Ensure partners use SSO where available, enforce MFA for admin access, prohibit shared accounts; scope and rotate non-person identities per CivicActions standards"
TPM,Integration with Incident Response,Training 4 — Incident Response for Responders,C - Communications and escalation,IT / Service Desk; System/Data Owners,Escalate supplier incidents or outages that may affect CivicActions data to Incident Response; follow shared responsibility model and contract SLAs for recovery
TPM,Records and Evidence,"Training 6 — Access Governance, Risk & Supplier Oversight",C - Supplier and third-party oversight,Managers; IT / Service Desk; System/Data Owners,"Retain intake forms, tiering decisions, questionnaires, contract clauses, review results, POA&Ms, and exit attestations as Controlled Records"
