Policy,Section,Training Name,Module,Audience,Learning Outcome
AUP,Principles for Acceptable Use,Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,"State the core acceptable-use principles (approved devices, least privilege, authorized purpose, ask-before-bypass) and give an example of each"
AUP,"Ownership, Privacy, and Monitoring",Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,"Explain that CivicActions owns data on its systems and may monitor activity; articulate that there is no expectation of privacy on company resources"
AUP,Authorized and Personal Use,Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,"Distinguish authorized business use from permitted limited personal use; identify the boundaries (lawful, no interference, no unreasonable cost)"
AUP,Prohibited Activities,Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,"Identify at least five categories of prohibited behavior (illegal content, unapproved software, credential sharing, circumventing controls, data exfiltration) and explain why each is prohibited"
AUP,Devices — Company-Managed,Training 1 — Security Awareness Essentials,A - Your devices and workspace,All Staff,"List the baseline controls on managed laptops (FDE, EDR, firewall, patching, auto-lock) and explain why settings must not be altered"
AUP,Devices — BYOD,Training 1 — Security Awareness Essentials,A - Your devices and workspace,All Staff,"State the BYOD restrictions (no Confidential/CUI data), list the four minimum config requirements (screen lock, current OS, encryption, password manager), and describe when to report loss/theft"
AUP,Home and Travel Workspaces,Training 1 — Security Awareness Essentials,A - Your devices and workspace,All Staff,"Apply workspace security practices: use WPA2/WPA3, lock screen, protect privacy in shared spaces, minimize printing, close privileged sessions when done"
AUP,Data Handling and Sharing,Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Classify data by sensitivity level and choose the correct sharing method (named sharing, approved channels only for Confidential/CUI); explain why ""anyone with the link"" is prohibited for non-Public data"
AUP,"Cloud, Social Media, and External Communications",Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,"Identify approved vs. unapproved cloud services; state the rules for social media (Public info only, no speaking for company without authorization, no client disclosures)"
AUP,Software Installation and Open-Source Use,Training 1 — Security Awareness Essentials,A - Your devices and workspace,"All Staff; Developers (deeper)","Describe the process for requesting new software; identify the Prohibited Hardware and Software list; explain developer obligations for open-source (SBOM, license review, no secrets in code)"
AUP,"Development, Automation, and Infrastructure",Training 5 — Secure Development & Supply Chain,A - Secure engineering principles,Developers,"Use service identities (not personal accounts) for CI/CD; keep privileges minimal; avoid direct production changes; route changes through peer-reviewed pipelines"
AUP,Generative AI and Code Assistants,Training 1 — Security Awareness Essentials,D - Acceptable use and AI,"All Staff; Developers (deeper)",Locate the AI Usage Policy; identify what data may and may not be entered into AI tools
AUP,Session Management and Authentication,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Protect accounts with MFA and password managers; lock/log out when leaving devices; keep high-risk sessions short-lived"
AUP,Malware Protection and Downloads,Training 1 — Security Awareness Essentials,A - Your devices and workspace,All Staff,"Cooperate with endpoint protections; scan external files; never disable security agents; download only from trusted sources"
AUP,Reporting Obligations,Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,"Recognize reportable events (lost device, credential compromise, mis-sent data, suspicious email, malware); report immediately to security@civicactions.com; describe blame-free reporting culture"
AUP,Consequences for Violations,Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,Understand the range of disciplinary actions (coaching through termination) and that sanctions are proportionate
AUP,Acknowledgment,Training 1 — Security Awareness Essentials,D - Acceptable use and AI,All Staff,Complete the policy acknowledgment at onboarding and after material changes
