Policy,Section,Training Name,Module,Audience,Learning Outcome
ISP,Governance and Leadership Commitment,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,Understand that this policy is the umbrella for all security policies; it establishes CISO authority and mandates compliance by all team members and partners; CivicActions operates an ISMS guided by ISO 27001 and NIST CSF 2.0
ISP,Security Objectives,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"State at least three of CivicActions' security objectives: safeguard FCI/CUI per FAR/NIST/CMMC, protect PII/PHI, maintain system integrity and availability, enforce least privilege, and continuously improve the ISMS"
ISP,Core Security Principles,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Explain the seven core principles: security by design, least privilege, defense-in-depth, data classification and minimization, openness with safeguards, managed endpoints first, and partner trust-but-verify"
ISP,Compliance Commitments,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Identify the compliance frameworks CivicActions aligns to (FAR 52.204-21/CMMC L1, NIST 800-171/CMMC L2, ISO 27001, ISO 9001, ITIL); understand the commitment to maintain audit-ready evidence"
ISP,Delegation to Subordinate Policies,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Locate the specific subordinate policy for a given topic (e.g., Acceptable Use for end-user rules, Data Security for classification, Incident Response for reporting); understand the policy hierarchy"
ISP,Risk Management,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff; System/Data Owners (deeper),"Explain that CivicActions uses NIST SP 800-30 and NIST CSF 2.0 for risk management; understand that risk acceptance must be explicit, recorded, and approved at the appropriate authority level"
ISP,"Assets, Endpoints, and Remote-First Security",Training 1 — Security Awareness Essentials,A - Your devices and workspace,All Staff,"Restate the managed-device requirement for CivicActions work; explain that endpoints must meet baseline controls (FDE, patching, anti-malware, firewall, auto-lock); understand zero-trust remote access principles"
ISP,"Secure Engineering, DevOps, and SRE",Training 5 — Secure Development & Supply Chain,A - Secure engineering principles,Developers,"Explain shift-left security: controls integrated into CI/CD, pre-approved libraries for authn/crypto, automated baseline enforcement; design for least privilege, zero trust, rapid rollback"
ISP,"Monitoring, Detection, and Incident Response",Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,Understand that services must emit logs and events for security operations; report suspected incidents immediately per the Incident Response Policy
ISP,"Data Governance, Openness, and Classification",Training 1 — Security Awareness Essentials,C - Data handling and classification,All Staff,"Classify data before sharing, publishing, or processing outside CivicActions; public release requires explicit Public classification and vetting; CUI/FCI must remain within approved boundaries"
ISP,Supplier and Third-Party Management,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Understand that partners with access to CivicActions data must meet baseline safeguards, accept contractual security obligations, and support assessments per the Third-Party Management Policy"
