Policy,Section,Training Name,Module,Audience,Learning Outcome
IdP,Identity Foundations & Account Naming,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Explain why every person and service must have a unique, traceable identity (no shared human accounts); identify your primary identifier (corporate email) and know that an immutable Employee ID exists for system synchronization"
IdP,SSO and Federation,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Use corporate SSO (Google Workspace SAML/OIDC) for all supported services; explain why local app passwords are prohibited unless exempted, and that any exceptions must be vaulted and rotated"
IdP,Authentication Requirements (MFA),Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,Enroll in MFA using approved factors (preferred: FIDO2/WebAuthn hardware key; backup: TOTP app); explain why SMS/voice OTP is disallowed; identify which high-risk systems require a hardware key for primary sign-in
IdP,Authentication Requirements — Passwordless Trajectory,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Understand CivicActions is moving toward passwordless-by-default; until then, use passwords that are ≥14 characters, unique, and stored in an approved password manager"
IdP,"Authenticator Issuance, Protection and Lifecycle",Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Protect hardware keys (keychain or secure pouch, not left in laptops while traveling); configure at least one backup factor; report loss or suspected compromise immediately to IT/Security"
IdP,Authenticator Issuance — Admin Requirements,"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,Privileged Users; IT / Service Desk,Receive and secure two hardware keys at onboarding; understand that all authenticators and sessions are revoked at offboarding
IdP,Session Management and Re-authentication,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,Understand the default IdP session lifetime (20 hours) and that re-authentication is required after session expiry
IdP,Managed Endpoints and Remote-First Alignment,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Explain that managed endpoints are required for Internal/Confidential (including FCI) data access; understand BYOD limitations (MFA/communications only, under MDM/profile isolation)"
IdP,Credentials and Secrets Hygiene,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff; Developers (deeper),"Use an approved password manager for any residual app passwords or recovery codes; never share credentials; store secrets only in managed secret systems, never in code or tickets"
IdP,Non-Person Identities (NPIs),"Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,Developers; IT / Service Desk,Create unique NPIs mapped to a System Owner and tracked in inventory; prefer OIDC/workload identity/short-lived tokens over long-lived keys; rotate NPI secrets at least annually and immediately on compromise; never use NPIs for interactive login
IdP,"Logging, Monitoring and Auditability","Training 3 — IT Operations: Change, Configuration & Patch Management",D - Endpoint posture and privileged access,IT / Service Desk; System/Data Owners,"Understand that authentication events, factor changes, admin elevation, break-glass usage, and NPI token use are logged and auditable; know that metrics (hardware-key coverage, time-to-revoke, anomalous login rate) are reviewed annually"
IdP,Identity Proofing — Onboarding,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff,"Complete identity verification with PeopleOps; receive account, group/role assignment, and MFA key issuance as part of onboarding"
IdP,Identity Proofing — Role Changes,Training 1 — Security Awareness Essentials,B - Your identity and access,All Staff; Managers,Expect prompt access updates when duties change; privileges are minimized or removed when no longer needed
IdP,Identity Proofing — Offboarding,"Training 6 — Access Governance, Risk & Supplier Oversight",A - Access governance,IT / Service Desk; Managers,Understand that all access is revoked immediately on separation; authenticators are retrieved or cryptographically revoked; evidence is documented in a Jira offboarding ticket
IdP,Incident Reporting & Response,Training 1 — Security Awareness Essentials,E - Recognizing and reporting incidents,All Staff,"Report immediately any suspected account compromise, phishing credential capture, or loss/theft of an MFA device; know that Security follows the IR Plan to contain, eradicate, and recover"
IdP,Compliance and Enforcement,Training 1 — Security Awareness Essentials,"F - Governance, risk, and compliance awareness",All Staff,"Understand that violations can result in access revocation, disciplinary action, or contract remedies"
